SUS,Percievable,Operable,Understandable,Robust,Flexibility,Recall,recognition,Errors,Hints,Trials before mastery,Times,Task Completetion 
97.5,4.5,4.5,4.666666667,3,5,1,0.75,1,1,2,29,1
90,4.5,5,4.666666667,3,5,1,1,1,1,2,23,0
50,3.75,4,3.666666667,2,4.5,0.833333333,0.666666667,6,11,4,118,0
100,5,5,5,5,5,0,0.5,1,2,3,147,0
42.5,4,4,3.333333333,2,2.5,0.8,0.8,5,3,3,69,0
85,4,4,4,4,4,1,1,1,2,2,20,1
80,4,4,4,4,4,0.666666667,1,3,1,3,34,0
52.5,3.25,3,3,3,3,0.8,0.8,2,3,2,30,0
52.5,2.5,3,3.333333333,3,3,1,1,3,3,3,72,0
50,3.25,3,3.333333333,3,3,1,1,1,0,2,21,0
67.5,3.5,2.5,3.666666667,2,3.5,0.5,0.833333333,2,4,3,95,1
92.5,4.75,5,4.666666667,5,4,1,0,1,2,2,117,1
75,4.25,4,4,4,4,0.4,1,2,3,3,49,0
67.5,3.75,3,3.666666667,3,4,0.75,1,2,2,4,30,0
